#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
UQCRB	COX5B	1847046	1844605	9606.ENSP00000287022	9606.ENSP00000258424	0	0	0	0	0.954	0.675	0	0.364	0.989
RNF130	UBA52	1861825	1859324	9606.ENSP00000430237	9606.ENSP00000388107	0	0	0	0	0.060	0.881	0.900	0.138	0.989
CYBB	RAC2	1856898	1843949	9606.ENSP00000367851	9606.ENSP00000249071	0	0	0	0	0.069	0.364	0.900	0.826	0.988
CDA	TYMP	1856229	1844096	9606.ENSP00000364212	9606.ENSP00000252029	0.309	0	0.379	0	0.063	0	0.941	0.602	0.988
ATP5L	ATP5B	1848205	1845043	9606.ENSP00000300688	9606.ENSP00000262030	0	0	0	0	0.274	0.803	0.900	0.277	0.988
ALDOA	PKM	1851945	1850212	9606.ENSP00000336927	9606.ENSP00000320171	0.062	0	0	0	0.745	0.417	0.800	0.644	0.988
TKT	GAPDH	1860530	1843185	9606.ENSP00000405455	9606.ENSP00000229239	0.309	0	0	0	0.176	0.500	0.882	0.693	0.987
CASP1	PYCARD	1860827	1843869	9606.ENSP00000410076	9606.ENSP00000247470	0	0	0	0	0.170	0.522	0.900	0.732	0.987
VASP	PFN1	1843785	1843040	9606.ENSP00000245932	9606.ENSP00000225655	0	0	0	0	0.055	0.730	0.900	0.521	0.986
SEC11A	SEC61B	1846006	1842987	9606.ENSP00000268220	9606.ENSP00000223641	0	0	0	0	0.806	0	0.900	0.297	0.985
RAC1	ARHGDIB	1853302	1843176	9606.ENSP00000348461	9606.ENSP00000228945	0	0	0	0	0.179	0.687	0.900	0.513	0.985
TKT	ALDOA	1860530	1851945	9606.ENSP00000405455	9606.ENSP00000336927	0.309	0	0	0	0.144	0.417	0.941	0.393	0.985
SRSF5	HNRNPH1	1858188	1853404	9606.ENSP00000377892	9606.ENSP00000349168	0	0	0	0	0.299	0.171	0.900	0.765	0.984
SEC11A	SPCS1	1846006	1843331	9606.ENSP00000268220	9606.ENSP00000233025	0	0	0	0	0.498	0.257	0.900	0.641	0.984
ATP5I	ATP5B	1848800	1845043	9606.ENSP00000306003	9606.ENSP00000262030	0	0	0	0	0.129	0.774	0.900	0.266	0.983
UBC	HSP90AA1	1852861	1851814	9606.ENSP00000344818	9606.ENSP00000335153	0	0	0	0	0.095	0.393	0.900	0.737	0.983
ITGB2	ICAM3	1848511	1842275	9606.ENSP00000303242	9606.ENSP00000160262	0	0	0	0	0.100	0.360	0.900	0.748	0.983
PKM	GAPDH	1850212	1843185	9606.ENSP00000320171	9606.ENSP00000229239	0.309	0	0	0	0.734	0.503	0.108	0.819	0.982
COX7B	COX5B	1861313	1844605	9606.ENSP00000417656	9606.ENSP00000258424	0	0	0	0	0.309	0.445	0.900	0.607	0.982
PSME1	PSMA7	1857560	1855365	9606.ENSP00000372155	9606.ENSP00000359910	0	0	0	0	0.095	0.781	0.900	0.162	0.981
YWHAZ	YWHAB	1849183	1848151	9606.ENSP00000309503	9606.ENSP00000300161	0	0	0	0.986	0.181	0.774	0.900	0.701	0.980
RHOA	CFL1	1860210	1849206	9606.ENSP00000400175	9606.ENSP00000309629	0	0	0	0	0.124	0	0.900	0.791	0.980
TKT	TPI1	1860530	1843191	9606.ENSP00000405455	9606.ENSP00000229270	0.064	0	0	0	0.073	0.503	0.800	0.808	0.980
YWHAB	YWHAH	1848151	1843937	9606.ENSP00000300161	9606.ENSP00000248975	0	0	0	0.979	0.148	0.774	0.900	0.758	0.979
YWHAZ	YWHAH	1849183	1843937	9606.ENSP00000309503	9606.ENSP00000248975	0	0	0	0.979	0.162	0.774	0.900	0.599	0.979
ATP5L	ATP5E	1848205	1843692	9606.ENSP00000300688	9606.ENSP00000243997	0	0	0	0	0.549	0.292	0.900	0.397	0.978
GNB2L1	UBA52	1861691	1859324	9606.ENSP00000426909	9606.ENSP00000388107	0	0	0	0	0.959	0.315	0	0.298	0.978
EIF3H	EIF4B	1861812	1845052	9606.ENSP00000429931	9606.ENSP00000262056	0	0	0	0	0.296	0.614	0.900	0.280	0.977
RAC1	IQGAP1	1853302	1846003	9606.ENSP00000348461	9606.ENSP00000268182	0	0	0	0	0.053	0.568	0.900	0.505	0.977
EVL	VASP	1858054	1843785	9606.ENSP00000376652	9606.ENSP00000245932	0	0	0	0.897	0	0.774	0.900	0.527	0.977
COX8A	COX6B1	1850328	1843826	9606.ENSP00000321260	9606.ENSP00000246554	0	0	0	0	0.677	0	0.900	0.295	0.975
GNB2L1	EEF2	1861691	1849021	9606.ENSP00000426909	9606.ENSP00000307940	0	0	0	0	0.968	0.053	0	0.247	0.975
RHOA	ARHGEF1	1860210	1851978	9606.ENSP00000400175	9606.ENSP00000337261	0	0	0	0	0	0.422	0.900	0.612	0.975
MYL6	MYL12A	1862334	1842673	9606.ENSP00000446714	9606.ENSP00000217652	0	0	0	0.787	0.216	0.678	0.900	0.280	0.974
TKT	PKM	1860530	1850212	9606.ENSP00000405455	9606.ENSP00000320171	0.309	0	0	0	0.233	0.503	0.800	0.574	0.973
ATP5G2	ATP5E	1858187	1843692	9606.ENSP00000377878	9606.ENSP00000243997	0	0	0	0	0.102	0.678	0.900	0.197	0.973
COX4I1	COX6B1	1844229	1843826	9606.ENSP00000253452	9606.ENSP00000246554	0	0	0	0	0.528	0.074	0.900	0.435	0.972
PGAM1	PKM	1855378	1850212	9606.ENSP00000359991	9606.ENSP00000320171	0	0	0	0	0.844	0	0.123	0.811	0.972
EIF3F	EIF4B	1849251	1845052	9606.ENSP00000310040	9606.ENSP00000262056	0	0	0	0	0.098	0.614	0.900	0.304	0.972
EIF3L	EIF4B	1861248	1845052	9606.ENSP00000416892	9606.ENSP00000262056	0	0	0	0	0.682	0	0.900	0.188	0.972
ATP5G2	ATP5L	1858187	1848205	9606.ENSP00000377878	9606.ENSP00000300688	0	0	0	0	0.668	0	0.900	0.249	0.972
MYL6	MYL12B	1862334	1843461	9606.ENSP00000446714	9606.ENSP00000237500	0	0	0	0.788	0.393	0.528	0.900	0.577	0.972
PGAM1	GAPDH	1855378	1843185	9606.ENSP00000359991	9606.ENSP00000229239	0	0	0	0	0.615	0.746	0.435	0.558	0.972
AAK1	AP2S1	1859169	1845323	9606.ENSP00000386456	9606.ENSP00000263270	0	0	0	0	0	0.680	0.900	0.166	0.971
MYL12B	MYL12A	1843461	1842673	9606.ENSP00000237500	9606.ENSP00000217652	0	0	0	0.987	0.717	0	0.900	0.366	0.970
HCK	ITGB2	1856392	1848511	9606.ENSP00000365012	9606.ENSP00000303242	0	0	0	0	0.622	0.113	0.900	0.212	0.970
RHOA	IQGAP1	1860210	1846003	9606.ENSP00000400175	9606.ENSP00000268182	0	0	0	0	0.244	0.178	0.900	0.577	0.970
RHOA	FYN	1860210	1853081	9606.ENSP00000400175	9606.ENSP00000346671	0	0	0	0	0.094	0.170	0.900	0.630	0.968
NCF2	RAC1	1854612	1853302	9606.ENSP00000356505	9606.ENSP00000348461	0	0	0	0	0.067	0.360	0.900	0.540	0.968
HNRNPA3	PCBP1	1858016	1848744	9606.ENSP00000376309	9606.ENSP00000305556	0	0	0	0	0.056	0.176	0.900	0.638	0.968
COX8A	COX4I1	1850328	1844229	9606.ENSP00000321260	9606.ENSP00000253452	0	0	0	0	0.294	0	0.900	0.577	0.967
RHOG	ARHGDIB	1852220	1843176	9606.ENSP00000339467	9606.ENSP00000228945	0	0	0	0	0.064	0.532	0.900	0.315	0.966
ACTR2	CFL1	1856793	1849206	9606.ENSP00000367220	9606.ENSP00000309629	0	0	0	0	0.096	0.884	0	0.700	0.966
LAMTOR4	LAMTOR1	1852660	1846579	9606.ENSP00000343118	9606.ENSP00000278671	0	0	0	0	0.106	0.194	0.900	0.589	0.966
LDHA	LDHB	1862289	1843197	9606.ENSP00000445175	9606.ENSP00000229319	0	0	0.527	0.983	0.155	0.628	0.900	0.714	0.966
UQCRB	COX6B1	1847046	1843826	9606.ENSP00000287022	9606.ENSP00000246554	0	0	0	0	0.932	0.410	0	0.216	0.966
CYBA	RAC2	1844952	1843949	9606.ENSP00000261623	9606.ENSP00000249071	0	0	0	0	0.141	0	0.900	0.627	0.965
YWHAB	YWHAQ	1848151	1843478	9606.ENSP00000300161	9606.ENSP00000238081	0	0	0	0.984	0.178	0.596	0.900	0.537	0.964
YWHAZ	YWHAQ	1849183	1843478	9606.ENSP00000309503	9606.ENSP00000238081	0	0	0	0.984	0.184	0.600	0.900	0.346	0.964
RHOA	PFN1	1860210	1843040	9606.ENSP00000400175	9606.ENSP00000225655	0	0	0	0	0.191	0.268	0.900	0.465	0.964
ATP5L	COX5B	1848205	1844605	9606.ENSP00000300688	9606.ENSP00000258424	0	0	0	0	0.952	0	0	0.293	0.964
HCK	FGR	1856392	1856028	9606.ENSP00000365012	9606.ENSP00000363115	0	0	0	0.961	0.651	0	0.900	0.823	0.964
UBC	RBX1	1852861	1842568	9606.ENSP00000344818	9606.ENSP00000216225	0	0	0	0	0.061	0.120	0.900	0.605	0.963
YWHAH	YWHAQ	1843937	1843478	9606.ENSP00000248975	9606.ENSP00000238081	0	0	0	0.977	0.139	0.604	0.900	0.710	0.963
UQCR11	UQCRB	1863953	1847046	9606.ENSP00000466420	9606.ENSP00000287022	0	0	0	0	0.375	0.543	0.800	0.435	0.963
ALDOA	TALDO1	1851945	1850327	9606.ENSP00000336927	9606.ENSP00000321259	0.043	0	0	0	0.163	0.417	0.900	0.341	0.963
HLA-E	HLA-C	1856531	1856460	9606.ENSP00000365817	9606.ENSP00000365402	0	0	0	0.977	0.055	0.625	0.900	0.822	0.962
EIF4B	EIF3E	1845052	1842805	9606.ENSP00000262056	9606.ENSP00000220849	0	0	0	0	0.263	0.292	0.900	0.370	0.962
HLA-B	HLA-C	1860141	1856460	9606.ENSP00000399168	9606.ENSP00000365402	0	0	0	0.983	0.105	0.599	0.900	0.970	0.961
CYBB	RAC1	1856898	1853302	9606.ENSP00000367851	9606.ENSP00000348461	0	0	0	0	0.069	0.363	0.900	0.426	0.961
TALDO1	TPI1	1850327	1843191	9606.ENSP00000321259	9606.ENSP00000229270	0	0	0	0	0.123	0	0.815	0.780	0.961
UQCR11	UQCRH	1863953	1849197	9606.ENSP00000466420	9606.ENSP00000309565	0	0	0	0	0.350	0.543	0.800	0.424	0.961
COX7B	COX4I1	1861313	1844229	9606.ENSP00000417656	9606.ENSP00000253452	0	0	0	0	0.155	0.445	0.900	0.263	0.960
UQCRB	COX4I1	1847046	1844229	9606.ENSP00000287022	9606.ENSP00000253452	0	0	0	0	0.458	0.793	0.540	0.300	0.959
GNG5	GNAI2	1855316	1849590	9606.ENSP00000359675	9606.ENSP00000312999	0	0	0	0	0.050	0.483	0.900	0.271	0.959
CTSB	CTSD	1852546	1843439	9606.ENSP00000342070	9606.ENSP00000236671	0	0	0	0	0.315	0.400	0	0.908	0.959
LCK	DOK2	1852042	1846493	9606.ENSP00000337825	9606.ENSP00000276420	0	0	0	0	0.054	0.485	0.900	0.245	0.958
FYN	HSP90AA1	1853081	1851814	9606.ENSP00000346671	9606.ENSP00000335153	0	0	0	0	0	0.456	0.900	0.287	0.957
RHOA	MYL12B	1860210	1843461	9606.ENSP00000400175	9606.ENSP00000237500	0	0	0	0	0.084	0.113	0.900	0.529	0.956
SSR4	SEC11A	1849949	1846006	9606.ENSP00000317331	9606.ENSP00000268220	0	0	0	0	0.513	0	0.900	0.169	0.955
RNF130	UBC	1861825	1852861	9606.ENSP00000430237	9606.ENSP00000344818	0	0	0	0	0	0.533	0.900	0.121	0.955
RAC1	CYBA	1853302	1844952	9606.ENSP00000348461	9606.ENSP00000261623	0	0	0	0	0.062	0.360	0.900	0.336	0.954
PGAM1	ALDOA	1855378	1851945	9606.ENSP00000359991	9606.ENSP00000336927	0.057	0	0	0	0.452	0.081	0.800	0.599	0.954
RHOA	UBC	1860210	1852861	9606.ENSP00000400175	9606.ENSP00000344818	0	0	0	0	0.102	0.410	0.900	0.217	0.953
UBA52	RBX1	1859324	1842568	9606.ENSP00000388107	9606.ENSP00000216225	0	0	0	0	0.087	0.120	0.900	0.477	0.952
MYL6	RHOA	1862334	1860210	9606.ENSP00000446714	9606.ENSP00000400175	0	0	0	0	0.049	0.112	0.900	0.498	0.952
LDHA	PKM	1862289	1850212	9606.ENSP00000445175	9606.ENSP00000320171	0.065	0	0	0	0.305	0.496	0.435	0.781	0.952
C5AR1	GNAI2	1853142	1849590	9606.ENSP00000347197	9606.ENSP00000312999	0	0	0	0	0.118	0.488	0.900	0	0.951
PABPC1	EIF3E	1849591	1842805	9606.ENSP00000313007	9606.ENSP00000220849	0	0	0	0	0.334	0	0.900	0.322	0.951
RHOA	RTN4	1860210	1852043	9606.ENSP00000400175	9606.ENSP00000337838	0	0	0	0	0.111	0.088	0.900	0.474	0.951
RAC1	HMHA1	1853302	1849901	9606.ENSP00000348461	9606.ENSP00000316772	0	0	0	0	0.079	0.452	0.900	0.148	0.951
RAC1	PFN1	1853302	1843040	9606.ENSP00000348461	9606.ENSP00000225655	0	0	0	0	0.059	0.268	0.900	0.363	0.950
ACTR2	RAC1	1856793	1853302	9606.ENSP00000367220	9606.ENSP00000348461	0	0	0	0	0.055	0.100	0.900	0.484	0.950
RHOA	HMHA1	1860210	1849901	9606.ENSP00000400175	9606.ENSP00000316772	0	0	0	0	0.042	0.452	0.900	0.148	0.949
UBA52	EIF3F	1859324	1849251	9606.ENSP00000388107	9606.ENSP00000310040	0	0	0	0	0.240	0.177	0.900	0.281	0.949
PLAUR	ITGB2	1852201	1848511	9606.ENSP00000339328	9606.ENSP00000303242	0	0	0	0	0.053	0.360	0.900	0.257	0.948
HLA-E	TYROBP	1856531	1845185	9606.ENSP00000365817	9606.ENSP00000262629	0	0	0	0	0	0	0.900	0.504	0.948
SPCS1	SEC61B	1843331	1842987	9606.ENSP00000233025	9606.ENSP00000223641	0	0	0	0	0.410	0.170	0.900	0	0.946
MYL6	RAC1	1862334	1853302	9606.ENSP00000446714	9606.ENSP00000348461	0	0	0	0	0.061	0.406	0.900	0.159	0.946
COX7B	COX6B1	1861313	1843826	9606.ENSP00000417656	9606.ENSP00000246554	0	0	0	0	0.326	0	0.900	0.262	0.945
UBA52	HSP90AA1	1859324	1851814	9606.ENSP00000388107	9606.ENSP00000335153	0	0	0	0	0.073	0.177	0.900	0.365	0.945
ARHGEF1	RAC2	1851978	1843949	9606.ENSP00000337261	9606.ENSP00000249071	0	0	0	0	0	0.134	0.900	0.419	0.945
UBA52	VAMP2	1859324	1849692	9606.ENSP00000388107	9606.ENSP00000314214	0	0	0	0	0.054	0.452	0.900	0.074	0.945
UBA52	EEF2	1859324	1849021	9606.ENSP00000388107	9606.ENSP00000307940	0	0	0	0	0.354	0.096	0.900	0.163	0.944
RHOA	LCK	1860210	1852042	9606.ENSP00000400175	9606.ENSP00000337825	0	0	0	0	0.046	0.170	0.900	0.368	0.943
RHOG	ARHGEF1	1852220	1851978	9606.ENSP00000339467	9606.ENSP00000337261	0	0	0	0	0	0.134	0.900	0.399	0.943
PSMA7	UBC	1855365	1852861	9606.ENSP00000359910	9606.ENSP00000344818	0	0	0	0	0.091	0.371	0.900	0.121	0.943
GSTP1	GSTO1	1858630	1855084	9606.ENSP00000381607	9606.ENSP00000358727	0	0	0	0	0.054	0	0.900	0.447	0.943
GNB2L1	TCEB2	1861691	1845114	9606.ENSP00000426909	9606.ENSP00000262306	0	0	0	0	0.054	0.326	0.900	0.190	0.941
COX7B	COX8A	1861313	1850328	9606.ENSP00000417656	9606.ENSP00000321260	0	0	0	0	0.277	0	0.900	0.243	0.940
GNB2L1	HSP90AA1	1861691	1851814	9606.ENSP00000426909	9606.ENSP00000335153	0	0	0	0	0.142	0	0.900	0.359	0.940
IQGAP1	RAP1B	1846003	1844015	9606.ENSP00000268182	9606.ENSP00000250559	0	0	0	0	0.223	0.178	0.900	0.173	0.940
BLOC1S1	VAMP2	1862423	1849692	9606.ENSP00000447537	9606.ENSP00000314214	0	0	0	0	0	0	0.900	0.424	0.940
CTSB	CSTA	1852546	1845556	9606.ENSP00000342070	9606.ENSP00000264474	0	0	0	0	0.054	0.879	0	0.510	0.939
VAMP2	VAMP8	1849692	1845428	9606.ENSP00000314214	9606.ENSP00000263864	0	0	0	0.870	0.044	0.360	0.900	0.743	0.939
EIF3H	PABPC1	1861812	1849591	9606.ENSP00000429931	9606.ENSP00000313007	0	0	0	0	0.319	0	0.900	0.161	0.938
TKT	LDHB	1860530	1843197	9606.ENSP00000405455	9606.ENSP00000229319	0	0	0	0	0.151	0.423	0.800	0.437	0.937
RAC1	MYL12B	1853302	1843461	9606.ENSP00000348461	9606.ENSP00000237500	0	0	0	0	0.101	0.170	0.900	0.264	0.937
RHOA	NCF2	1860210	1854612	9606.ENSP00000400175	9606.ENSP00000356505	0	0	0	0	0	0	0.900	0.396	0.937
HSP90AA1	CFL1	1851814	1849206	9606.ENSP00000335153	9606.ENSP00000309629	0	0	0	0	0.057	0	0.900	0.380	0.936
UBA52	EIF3K	1859324	1843908	9606.ENSP00000388107	9606.ENSP00000248342	0	0	0	0	0.364	0.065	0.900	0	0.935
MYL6	TPM3	1862334	1854817	9606.ENSP00000446714	9606.ENSP00000357516	0	0	0	0	0.120	0.170	0.900	0.220	0.935
IQGAP1	RAC2	1846003	1843949	9606.ENSP00000268182	9606.ENSP00000249071	0	0	0	0	0.053	0.292	0.800	0.575	0.935
RHOA	HSP90AA1	1860210	1851814	9606.ENSP00000400175	9606.ENSP00000335153	0	0	0	0	0	0.070	0.900	0.364	0.935
SEC61G	SPCS1	1852468	1843331	9606.ENSP00000341538	9606.ENSP00000233025	0	0	0	0	0.363	0	0.900	0.061	0.935
HLA-B	PDIA3	1860141	1848170	9606.ENSP00000399168	9606.ENSP00000300289	0	0	0	0	0	0	0.900	0.375	0.934
SSR4	SPCS1	1849949	1843331	9606.ENSP00000317331	9606.ENSP00000233025	0	0	0	0	0.369	0	0.900	0	0.934
SRSF5	HNRNPA3	1858188	1858016	9606.ENSP00000377892	9606.ENSP00000376309	0	0	0	0	0.091	0.292	0.900	0.104	0.934
RHOA	TLN1	1860210	1849837	9606.ENSP00000400175	9606.ENSP00000316029	0	0	0	0	0	0	0.900	0.367	0.934
HNRNPH1	PCBP1	1853404	1848744	9606.ENSP00000349168	9606.ENSP00000305556	0	0	0	0	0.046	0	0.900	0.364	0.934
TPM3	MYL12B	1854817	1843461	9606.ENSP00000357516	9606.ENSP00000237500	0	0	0	0	0.121	0.161	0.900	0.221	0.934
RAC1	MYL12A	1853302	1842673	9606.ENSP00000348461	9606.ENSP00000217652	0	0	0	0	0.054	0.170	0.900	0.264	0.934
